,,STRIKE,OPEN RANGE, HIGH, LOW,CLOSING RANGE,SETT.PRICE & PT.CHGE.,DELTA,EXER CISES,RTH VOLUME,GLOBEX VOLUME,OPEN INTEREST,OPEN INTEREST CHANGE, CONTRACT  (HIGH  LOW)
MAR20,EURO DLR CALL,9750,----,----,----,0.060N,.065+ 0.5,.158,----,----,----,38685,0,.550B,.060A
MAR20,EURO DLR CALL,9762,----,----,----,0.047N,.052+ 0.5,.130,----,----,----,7975,0,.470B,.050A
MAR20,EURO DLR CALL,9775,----,----,----,0.040N,.042+ 0.2,.107,----,1150,1150,53085,-850,.550,.040A
MAR20,EURO DLR CALL,9787,----,----,----,0.032N,.035+ 0.2,.088,----,----,----,106915,0,.330B,.040A
MAR20,EURO DLR CALL,9800,----,----,----,0.027N,.030+ 0.2,.075,----,----,----,63432,0,.280B,.040
MAR20,EURO DLR CALL,9812,----,----,----,0.022N,.025+ 0.2,.063,----,----,----,4100,0,.230B,.040A
MAR20,EURO DLR CALL,9825,----,----,----,0.020N,.020 UNCH,.051,----,----,----,34133,0,.180B,.030
MAR20,EURO DLR CALL,9837,----,----,----,0.017N,.017 UNCH,.044,----,----,----,125,0,.150B,.030
MAR20,EURO DLR CALL,9850,----,----,----,0.015N,.015 UNCH,.037,----,----,----,7952,0,.120B,.020
MAR20,EURO DLR CALL,9862,----,----,----,0.012N,.012 UNCH,.031,----,----,----,12642,0,.080B,.020
MAR20,EURO DLR CALL,9875,----,----,----,0.010N,.010 UNCH,.025,----,----,----,8885,0,.070B,.020
MAR20,EURO DLR CALL,9887,----,----,----,0.007N,.007 UNCH,.019,----,----,----,1707,0,.030B,.020
MAR20,EURO DLR CALL,9900,----,----,----,0.005N,.005 UNCH,.013,----,----,----,2983,0,.040,.010
MAR20,EURO DLR CALL,9912,----,----,----,0.005N,.005 UNCH,.013,----,----,----,125,0,.020B,.010
MAR20,EURO DLR CALL,9925,----,----,----,0.002N,.002 UNCH,.007,----,----,----,131,0,.010B,.010
MAR20,EURO DLR CALL,9950,----,----,----,0.002N,.002 UNCH,.003,----,----,----,406,0,.030,.010
MAR20,EURO DLR CALL,9975,----,----,----,----,CAB ----,.001,----,----,----,500,0,.010B,.010A
MAR20,EURO DLR CALL,10000,----,----,----,----,CAB ----,.000,----,----,----,45,0,.010,.010
JUN20,EURO DLR CALL,9650,----,----,----,0.400N,.405+ 0.5,.610,----,----,----,1625,0,----,----
JUN20,EURO DLR CALL,9675,----,----,----,0.272N,.280+ 0.7,.477,----,200,200,3538,+200,.500B,.270A
JUN20,EURO DLR CALL,9687,----,----,----,0.225N,.232+ 0.7,.414,----,----,----,10374,0,.540B,.220A
JUN20,EURO DLR CALL,9700,----,----,----,0.185N,.192+ 0.7,.357,----,----,----,69472,0,.540B,.180A
JUN20,EURO DLR CALL,9712,----,----,----,0.152N,.157+ 0.5,.304,----,----,----,14093,0,.490B,.150A
JUN20,EURO DLR CALL,9725,----,----,----,0.125N,.130+ 0.5,.258,----,----,----,3550,0,.460B,.120A
JUN20,EURO DLR CALL,9737,----,----,----,0.102N,.107+ 0.5,.219,----,----,----,20850,0,.390B,.100A
JUN20,EURO DLR CALL,9750,----,----,----,0.085N,.090+ 0.5,.186,----,----,----,31375,0,.560B,.090A
JUN20,EURO DLR CALL,9762,----,----,----,0.070N,.075+ 0.5,.157,----,----,----,4200,0,.480B,.070A
JUN20,EURO DLR CALL,9775,----,----,----,0.060N,.062+ 0.2,.133,----,----,----,14866,0,.540,.060
