,,STRIKE,OPEN RANGE, HIGH,LOW,CLOSING RANGE,SETT.PRICE & PT.CHGE.,DELTA,EXER CISES,RTH VOLUME,GLOBEX VOLUME,OPEN INTEREST,CONTRACT  (HIGH  LOW)
DEC19,EURO DLR CALL,9912,----,----,----,0.002N,CAB ----,.002,----,----,----,3975 UNCH,.060B,.010
DEC19,EURO DLR CALL,9925,----,----,----,----,CAB ----,.001,----,----,----,21854 UNCH,.050B,.010
DEC19,EURO DLR CALL,9937,----,----,----,----,CAB ----,.000,----,----,----,1 UNCH,.040B,.010
DEC19,EURO DLR CALL,9950,----,----,----,----,CAB ----,.000,----,----,----,5024 UNCH,.250B,.010
DEC19,EURO DLR CALL,9962,----,----,----,----,CAB ----,.000,----,----,----,2000 UNCH,.010B,.010
DEC19,EURO DLR CALL,9975,----,----,----,----,CAB ----,.000,----,----,----,15 UNCH,.200B,----
DEC19,EURO DLR CALL,9987,----,----,----,----,CAB ----,.000,----,----,----,20 UNCH,.010B,----
DEC19,EURO DLR CALL,10000,----,----,----,----,CAB ----,.000,----,----,----,14835 UNCH,.140B,.000
MAR20,EURO DLR CALL,9600,----,----,----,0.852N,.792- 6.0,.909,----,----,----,12583 UNCH,1.300B,.780A
MAR20,EURO DLR CALL,9687,----,----,----,0.240N,.215- 2.5,.443,----,2000,----,20602 + 1700,.520B,.210A
MAR20,EURO DLR CALL,9700,0.175,#.175,*.170,0.170,.170- 2.2,.371,----,3500,200,44058 - 1225,.510B,.170A
MAR20,EURO DLR CALL,9712,----,----,----,0.155N,.135- 2.0,.308,----,----,----,14814 UNCH,.440B,.140A
MAR20,EURO DLR CALL,9725,----,----,----,0.125N,.107- 1.7,.254,----,4000,----,14380 + 2725,.730B,.110A
MAR20,EURO DLR CALL,9737,----,----,----,0.100N,.087- 1.2,.210,----,----,----,41171 UNCH,.640B,.090A
MAR20,EURO DLR CALL,9750,----,----,----,0.080N,.070- 1.0,.172,----,----,----,32759 UNCH,.550B,.070A
MAR20,EURO DLR CALL,9762,----,----,----,0.065N,.055- 1.0,.139,----,----,----,7975 UNCH,.470B,.060A
MAR20,EURO DLR CALL,9775,----,----,----,0.052N,.045- 0.7,.115,----,----,----,53919 UNCH,.550,.050A
MAR20,EURO DLR CALL,9787,----,----,----,0.042N,.037- 0.5,.096,----,----,----,106952 UNCH,.330B,.040A
MAR20,EURO DLR CALL,9800,----,----,----,0.035N,.030- 0.5,.078,----,----,----,63432 UNCH,.280B,.040
MAR20,EURO DLR CALL,9812,----,----,----,0.030N,.025- 0.5,.065,----,----,----,4100 UNCH,.230B,.040A
MAR20,EURO DLR CALL,9825,----,----,----,0.025N,.020- 0.5,.052,----,----,----,34133 UNCH,.180B,.030
MAR20,EURO DLR CALL,9837,----,----,----,0.020N,.017- 0.2,.045,----,----,----,125 UNCH,.150B,.030
MAR20,EURO DLR CALL,9850,----,----,----,0.017N,.015- 0.2,.038,----,----,----,7952 UNCH,.120B,.020
MAR20,EURO DLR CALL,9862,----,----,----,0.015N,.012- 0.2,.032,----,----,----,12642 UNCH,.080B,.020
MAR20,EURO DLR CALL,9875,----,----,----,0.012N,.010- 0.2,.026,----,----,----,8885 UNCH,.070B,.020
MAR20,EURO DLR CALL,9887,----,----,----,0.010N,.007- 0.2,.020,----,----,----,1707 UNCH,.030B,.020
MAR20,EURO DLR CALL,9900,----,----,----,0.007N,.005- 0.2,.014,----,----,----,2983 UNCH,.040,.010
MAR20,EURO DLR CALL,9912,----,----,----,0.005N,.002- 0.2,.007,----,----,----,125 UNCH,.020B,.010
MAR20,EURO DLR CALL,9925,----,----,----,0.002N,.002 UNCH,.005,----,----,----,131 UNCH,.010B,.010
MAR20,EURO DLR CALL,9950,----,----,----,0.002N,CAB ----,.002,----,----,----,406 UNCH,.030,.010
MAR20,EURO DLR CALL,9975,----,----,----,----,CAB ----,.001,----,----,----,500 UNCH,.010B,.010A
MAR20,EURO DLR CALL,10000,----,----,----,----,CAB ----,.000,----,----,----,45 UNCH,.010,.010
JUN20,EURO DLR CALL,9650,----,----,----,0.482N,.442- 4.0,.647,----,----,----,1500 UNCH,----,----
JUN20,EURO DLR CALL,9675,----,----,----,0.340N,.307- 3.2,.515,----,1150,400,2150 + 1051,.500B,.300A
JUN20,EURO DLR CALL,9687,----,----,----,0.280N,.252- 2.7,.448,----,----,----,10374 UNCH,.540B,.250A
JUN20,EURO DLR CALL,9700,----,----,----,0.232N,.207- 2.5,.386,----,1200,----,69472 - 1000,.540B,.200A
JUN20,EURO DLR CALL,9712,----,----,----,0.192N,.170- 2.2,.329,----,----,----,14093 UNCH,.490B,.170A
JUN20,EURO DLR CALL,9725,----,----,----,0.157N,.140- 1.7,.280,----,----,----,3550 UNCH,.460B,.140A
JUN20,EURO DLR CALL,9737,----,----,----,0.130N,.115- 1.5,.236,----,----,----,20850 UNCH,.390B,.120A
JUN20,EURO DLR CALL,9750,----,----,----,0.107N,.095- 1.2,.199,----,----,----,31375 UNCH,.560B,.100A
JUN20,EURO DLR CALL,9762,----,----,----,0.087N,.077- 1.0,.167,----,----,----,4200 UNCH,.480B,.080A
JUN20,EURO DLR CALL,9775,----,----,----,0.072N,.065- 0.7,.141,----,5,5,14881 - 5,.540,.070
JUN20,EURO DLR CALL,9787,----,----,----,0.060N,.055- 0.5,.120,----,----,----,12800 UNCH,.340B,.060A
JUN20,EURO DLR CALL,9800,----,----,----,0.050N,.045- 0.5,.100,----,5,5,12258 UNCH,.290,.050
JUN20,EURO DLR CALL,9812,----,----,----,0.042N,.037- 0.5,.084,----,----,----,45386 UNCH,.220B,.040A
JUN20,EURO DLR CALL,9825,----,----,----,0.035N,.030- 0.5,.069,----,----,----,250 UNCH,.180B,.040
JUN20,EURO DLR CALL,9837,----,----,----,0.030N,.025- 0.5,.058,----,----,----,36369 UNCH,.140B,.040
JUN20,EURO DLR CALL,9850,----,----,----,0.025N,.022- 0.2,.051,----,----,----,7132 UNCH,.110B,.030
JUN20,EURO DLR CALL,9862,----,----,----,0.022N,.020- 0.2,.045,----,----,----,101 UNCH,.090B,.020A
JUN20,EURO DLR CALL,9875,----,----,----,0.020N,.017- 0.2,.039,----,----,----,6327 UNCH,.110B,.020A
JUN20,EURO DLR CALL,9887,----,----,----,0.017N,.015- 0.2,.033,----,----,----,4204 UNCH,.050B,.020A
JUN20,EURO DLR CALL,9900,----,----,----,0.015N,.012- 0.2,.028,----,----,----,8428 UNCH,.030,.020A
JUN20,EURO DLR CALL,9912,----,----,----,0.012N,.010- 0.2,.023,----,----,----,5 UNCH,.370,.020A
JUN20,EURO DLR CALL,9925,----,----,----,0.010N,.007- 0.2,.017,----,----,----,5450 UNCH,.030,.020A
JUN20,EURO DLR CALL,9937,----,----,----,0.007N,.005- 0.2,.012,----,----,----,501 UNCH,.020,.010
JUN20,EURO DLR CALL,9950,----,----,----,0.005N,.005 UNCH,.012,----,----,----,5082 UNCH,.030,.030
JUN20,EURO DLR CALL,9987,----,----,----,0.002N,.002 UNCH,.003,----,----,----,30 UNCH,.120,.010A
JUN20,EURO DLR CALL,10000,----,----,----,0.002N,CAB ----,.002,----,----,----,10280 UNCH,.020,.010
JUN20,EURO DLR CALL,10050,----,----,----,----,CAB ----,.000,----,----,----,5000 UNCH,----,----
SEP20,EURO DLR CALL,9650,----,----,----,0.520N,.477- 4.2,.631,----,----,----,3855 UNCH,.610B,.490A
SEP20,EURO DLR CALL,9675,----,----,----,0.380N,.345- 3.5,.513,----,900,200,1550 + 500,.560B,.340A
SEP20,EURO DLR CALL,9687,----,----,----,0.320N,.290- 3.0,.454,----,----,----,16075 UNCH,.620B,.290A
SEP20,EURO DLR CALL,9700,----,----,----,0.270N,.245- 2.5,.399,----,----,----,36785 UNCH,.550B,.240A
SEP20,EURO DLR CALL,9712,----,----,----,0.227N,.205- 2.2,.347,----,----,----,24724 UNCH,.550B,.200A
SEP20,EURO DLR CALL,9725,----,----,----,0.190N,.170- 2.0,.300,----,----,----,15970 UNCH,.740B,.170A
SEP20,EURO DLR CALL,9737,----,----,----,0.160N,.142- 1.7,.258,----,----,----,3448 UNCH,.650B,.140A
SEP20,EURO DLR CALL,9750,----,----,----,0.135N,.120- 1.5,.222,----,----,----,8750 UNCH,.570B,.120A
SEP20,EURO DLR CALL,9762,----,----,----,0.115N,.100- 1.5,.190,----,----,----,12468 UNCH,.490B,.100A
SEP20,EURO DLR CALL,9775,----,----,----,0.095N,.082- 1.2,.161,----,----,----,33902 UNCH,.430B,.090A
SEP20,EURO DLR CALL,9787,----,----,----,0.080N,.070- 1.0,.138,----,----,----,50562 UNCH,.360B,.080A
SEP20,EURO DLR CALL,9800,----,----,----,0.067N,.060- 0.7,.119,----,----,----,33891 UNCH,.300B,.060A
SEP20,EURO DLR CALL,9812,----,----,----,0.057N,.050- 0.7,.100,----,----,----,4175 UNCH,.240B,.060A
SEP20,EURO DLR CALL,9825,----,----,----,0.047N,.042- 0.5,.086,----,----,----,11100 UNCH,.200B,.050A
SEP20,EURO DLR CALL,9837,----,----,----,0.040N,.035- 0.5,.072,----,----,----,1100 UNCH,.160B,.060A
